"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.237804167E-2,-1.968917847E0,2.120703506E1,-4.609397507E1,5.077666306E1
4.241804166E-2,-2.050781250E0,2.120033646E1,-4.626671982E1,5.093397032E1
5.245804167E-2,-1.993717194E0,2.118326187E1,-4.607986069E1,5.075489191E1
6.249804166E-2,-1.829254150E0,2.133964539E1,-4.617972946E1,5.090475468E1
7.253804167E-2,-1.924091339E0,2.142835236E1,-4.599525070E1,5.077833691E1
8.257804166E-2,-2.072906494E0,2.149174881E1,-4.606985855E1,5.087852273E1
9.261804166E-2,-2.107303619E0,2.156110764E1,-4.606639481E1,5.090613737E1
1.026590417E-1,-2.238018036E0,2.168230057E1,-4.633700943E1,5.120790296E1
1.126990417E-1,-1.923892975E0,2.182226562E1,-4.617785263E1,5.111072994E1
1.227390417E-1,-1.912517548E0,2.179100418E1,-4.609237289E1,5.101972585E1
1.327790417E-1,-1.956665039E0,2.173101044E1,-4.605192184E1,5.095924703E1
1.428190417E-1,-1.979183197E0,2.163013458E1,-4.594340897E1,5.081905859E1
1.528590417E-1,-1.806156158E0,2.169326019E1,-4.602720261E1,5.091525427E1
1.628990417E-1,-1.830104828E0,2.146218872E1,-4.630044174E1,5.106570017E1
1.729390417E-1,-2.242622375E0,2.161542892E1,-4.624671555E1,5.109809019E1
1.829790417E-1,-2.021186829E0,2.148985672E1,-4.638233566E1,5.115877441E1
1.930190417E-1,-2.054626465E0,2.124002075E1,-4.631409836E1,5.099368273E1
2.030590417E-1,-2.171775818E0,2.128408051E1,-4.603680038E1,5.076529999E1
2.130990417E-1,-1.928749084E0,2.149507141E1,-4.630941391E1,5.109129069E1
2.231390417E-1,-1.978748322E0,2.152865219E1,-4.612273026E1,5.093824257E1
2.331790417E-1,-1.947254181E0,2.162815857E1,-4.590766525E1,5.078467063E1
2.432190417E-1,-2.042362213E0,2.187446976E1,-4.614593124E1,5.110881177E1
2.532590417E-1,-2.019359589E0,2.182664490E1,-4.585309982E1,5.082309518E1
2.632990417E-1,-1.990360260E0,2.181452179E1,-4.594551468E1,5.090014945E1
2.733390417E-1,-1.813823700E0,2.169353867E1,-4.607382584E1,5.095779630E1
2.833790417E-1,-2.037593842E0,2.173562622E1,-4.613753891E1,5.104176459E1
2.934190417E-1,-2.197582245E0,2.182135391E1,-4.613866043E1,5.108597499E1
3.034590417E-1,-2.140277863E0,2.165319443E1,-4.591808701E1,5.081252141E1
3.134990417E-1,-2.324382782E0,2.166605759E1,-4.604813766E1,5.094361382E1
3.235400417E-1,-2.012451172E0,2.161347961E1,-4.592571640E1,5.079728229E1
3.335800417E-1,-2.101570129E0,2.141971207E1,-4.604050827E1,5.082272192E1
3.436200417E-1,-2.125591278E0,2.139680862E1,-4.627289963E1,5.102472731E1
3.536600417E-1,-2.371204376E0,2.130641174E1,-4.635821915E1,5.107514341E1
3.637000417E-1,-2.124313354E0,2.147289276E1,-4.663737106E1,5.138717944E1
3.737400417E-1,-2.057453156E0,2.131827545E1,-4.609643936E1,5.082896520E1
3.837800417E-1,-2.225032806E0,2.164691925E1,-4.634395218E1,5.119865025E1
3.938200417E-1,-2.093498230E0,2.169924927E1,-4.619342422E1,5.107908178E1
4.038600417E-1,-2.263019562E0,2.162994766E1,-4.662691116E1,5.144943866E1
4.139000417E-1,-2.152908325E0,2.164556885E1,-4.635692978E1,5.120674373E1
4.239400417E-1,-2.194213867E0,2.162387085E1,-4.650124741E1,5.133003385E1
4.339800417E-1,-1.965839386E0,2.183513260E1,-4.656141281E1,5.146457717E1
4.440200417E-1,-2.203804016E0,2.161573029E1,-4.653139877E1,5.135433399E1
4.540600417E-1,-2.245792389E0,2.143016815E1,-4.655884171E1,5.130323022E1
4.641000417E-1,-2.329753876E0,2.173349762E1,-4.645073318E1,5.133656869E1
4.741400417E-1,-1.931125641E0,2.172710800E1,-4.657236099E1,5.142743700E1
4.841800417E-1,-1.588546753E0,2.179737854E1,-4.682749557E1,5.167652788E1
4.942200417E-1,-1.921581268E0,2.184579468E1,-4.681756973E1,5.169928486E1
5.042600417E-1,-1.721263885E0,2.193209839E1,-4.669581985E1,5.161859433E1
5.143000417E-1,-1.776054382E0,2.194097519E1,-4.664776993E1,5.158076386E1
5.243400417E-1,-1.877414703E0,2.184289932E1,-4.641715622E1,5.133409518E1
5.343800417E-1,-1.898273468E0,2.179450989E1,-4.655371475E1,5.143785047E1
5.444200417E-1,-2.081516266E0,2.171148682E1,-4.658860397E1,5.144141707E1
5.544600417E-1,-2.130809784E0,2.175406265E1,-4.647017288E1,5.135422631E1
5.645010417E-1,-2.086025238E0,2.177297974E1,-4.668741989E1,5.155704922E1
5.745410417E-1,-2.047821045E0,2.157837296E1,-4.629878616E1,5.112139817E1
5.845810417E-1,-2.216690063E0,2.162300873E1,-4.613219070E1,5.099654146E1
5.946210417E-1,-2.255538940E0,2.169026947E1,-4.622727585E1,5.111277999E1
6.046610417E-1,-2.281269073E0,2.150439835E1,-4.611529922E1,5.093391954E1
6.147010417E-1,-2.244884491E0,2.168682480E1,-4.596653366E1,5.087514219E1
6.247410417E-1,-2.314727783E0,2.171768951E1,-4.630264664E1,5.119522525E1
6.347810417E-1,-2.439029694E0,2.176050949E1,-4.601904678E1,5.096294052E1
6.448210417E-1,-2.392951965E0,2.181026840E1,-4.611471939E1,5.106839895E1
6.548610417E-1,-2.240997314E0,2.180407333E1,-4.638179398E1,5.130019976E1
6.649010417E-1,-1.782505035E0,2.175339508E1,-4.618259048E1,5.108051669E1
6.749410417E-1,-2.206260681E0,2.178761292E1,-4.641373062E1,5.132058118E1
6.849810417E-1,-2.341777802E0,2.181511307E1,-4.605401993E1,5.101329075E1
6.950210417E-1,-2.375228882E0,2.165125275E1,-4.627648544E1,5.114617838E1
7.050610417E-1,-2.092472076E0,2.188321304E1,-4.620320511E1,5.116629374E1
7.151010417E-1,-2.038936615E0,2.182653809E1,-4.616598892E1,5.110629668E1
7.251410417E-1,-1.967430115E0,2.164663315E1,-4.608646774E1,5.095498030E1
7.351810417E-1,-2.012802124E0,2.146782303E1,-4.605051041E1,5.084848382E1
7.452210417E-1,-2.098175049E0,2.148493958E1,-4.638634872E1,5.116344706E1
7.552610417E-1,-2.184040070E0,2.171095657E1,-4.626922989E1,5.115640039E1
7.653010417E-1,-2.244491577E0,2.180978012E1,-4.638983536E1,5.131004849E1
7.753410417E-1,-2.270057678E0,2.181170654E1,-4.655136490E1,5.145807301E1
7.853820417E-1,-2.181480408E0,2.161997986E1,-4.656466293E1,5.138531132E1
7.954220417E-1,-2.002758026E0,2.160815048E1,-4.677136612E1,5.156048774E1
8.054620417E-1,-1.912845612E0,2.169952393E1,-4.675910568E1,5.158432205E1
8.155020417E-1,-1.895420074E0,2.168040085E1,-4.658930588E1,5.142174463E1
8.255420417E-1,-2.252696991E0,2.161734390E1,-4.656727982E1,5.138964634E1
8.355820417E-1,-2.195400238E0,2.159602356E1,-4.642946243E1,5.125332182E1
8.456220417E-1,-2.183265686E0,2.139912415E1,-4.603346634E1,5.081111282E1
8.556620417E-1,-2.269451141E0,2.155185318E1,-4.652251816E1,5.132229028E1
8.657020417E-1,-2.301471710E0,2.140818787E1,-4.633786392E1,5.109603617E1
8.757420417E-1,-2.256931305E0,2.141720581E1,-4.632114792E1,5.108267014E1
8.857820417E-1,-2.231037140E0,2.147544479E1,-4.646355057E1,5.123508356E1
8.958220417E-1,-2.373729706E0,2.153677750E1,-4.648079300E1,5.128285772E1
9.058620417E-1,-2.320594788E0,2.153041458E1,-4.661452103E1,5.139900274E1
9.159020417E-1,-2.345237732E0,2.149962234E1,-4.674710464E1,5.150753046E1
9.259420417E-1,-2.313488007E0,2.169231033E1,-4.648649216E1,5.135077903E1
9.359815417E-1,-2.233726501E0,2.162589645E1,-4.648753738E1,5.132017209E1
9.460215417E-1,-2.119571686E0,2.153543091E1,-4.636166000E1,5.116317901E1
9.560615417E-1,-2.382076263E0,2.141583633E1,-4.646864700E1,5.122155296E1
9.661015417E-1,-2.208415985E0,2.166182709E1,-4.664226151E1,5.147438598E1
9.761415417E-1,-2.194007874E0,2.153453445E1,-4.650201035E1,5.129314585E1
9.861815417E-1,-2.253986359E0,2.160144043E1,-4.646734238E1,5.129246134E1
9.962225417E-1,-2.297157288E0,2.147929382E1,-4.680537033E1,5.154977872E1
1.006262542E0,-2.266555786E0,2.158160019E1,-4.679893875E1,5.158530227E1
1.016302542E0,-2.432533264E0,2.152156830E1,-4.674659348E1,5.152027874E1
1.026342542E0,-2.281341553E0,2.177111435E1,-4.696869278E1,5.181934041E1
1.036382542E0,-2.359695435E0,2.181460953E1,-4.685509872E1,5.173824145E1
1.046422542E0,-2.404953003E0,2.181550598E1,-4.667949295E1,5.158173284E1
1.056462542E0,-2.307418823E0,2.178720474E1,-4.675745773E1,5.163590152E1
1.066502542E0,-2.362663269E0,2.201795959E1,-4.666574478E1,5.165331024E1
1.076542542E0,-2.367362976E0,2.199470139E1,-4.676964951E1,5.173752421E1
1.086582542E0,-2.253273010E0,2.195294189E1,-4.678786087E1,5.173115910E1
1.096622542E0,-2.497001648E0,2.178679276E1,-4.678179550E1,5.166658249E1
1.106662542E0,-2.184963226E0,2.181024170E1,-4.638853836E1,5.130650250E1
1.116702542E0,-2.210956573E0,2.201616287E1,-4.661658096E1,5.160140868E1
1.126742542E0,-2.263164520E0,2.195696640E1,-4.636584854E1,5.135194444E1
1.136782542E0,-2.296646118E0,2.188703156E1,-4.656837082E1,5.150660049E1
1.146822542E0,-2.146472931E0,2.165097046E1,-4.666228867E1,5.148534793E1
1.156862542E0,-2.207927704E0,2.187855911E1,-4.663603592E1,5.156031555E1
1.166902542E0,-2.261299133E0,2.182851028E1,-4.657095718E1,5.148253479E1
1.176942542E0,-2.329528809E0,2.158459091E1,-4.639406967E1,5.122236787E1
1.186982542E0,-2.277099609E0,2.181597137E1,-4.638642502E1,5.131103405E1
1.197022542E0,-2.290351868E0,2.189118958E1,-4.617253494E1,5.115049243E1
1.207062542E0,-2.154769897E0,2.180271912E1,-4.638345718E1,5.129743361E1
1.217103542E0,-2.341606140E0,2.182251358E1,-4.655524826E1,5.146937302E1
1.227143542E0,-2.223838806E0,2.198516083E1,-4.651968765E1,5.150120479E1
1.237183542E0,-2.005905151E0,2.182540131E1,-4.655933762E1,5.146011773E1
1.247223542E0,-1.994411469E0,2.201053238E1,-4.659405899E1,5.156983174E1
1.257263542E0,-2.206272125E0,2.171469879E1,-4.640016556E1,5.127739408E1
1.267303542E0,-1.814853668E0,2.172941208E1,-4.656164169E1,5.141446801E1
1.277343542E0,-1.915245056E0,2.178525162E1,-4.666074753E1,5.153145361E1
1.287383542E0,-1.992317200E0,2.172457886E1,-4.617731857E1,5.107123853E1
1.297423542E0,-2.048301697E0,2.178121185E1,-4.627827072E1,5.118881783E1
1.307463542E0,-2.138679504E0,2.173992538E1,-4.629279709E1,5.118809791E1
1.317503542E0,-2.036949158E0,2.163049698E1,-4.608407974E1,5.094869937E1
1.327543542E0,-2.221458435E0,2.149163437E1,-4.629266739E1,5.108655674E1
1.337583542E0,-2.179000854E0,2.168886948E1,-4.639947128E1,5.126466658E1
1.347623542E0,-2.278045654E0,2.160409927E1,-4.692524338E1,5.170981593E1
1.357663542E0,-2.334152222E0,2.171461105E1,-4.695864487E1,5.178886876E1
1.367703542E0,-2.286273956E0,2.149248886E1,-4.667573166E1,5.143712717E1
1.377743542E0,-2.335620880E0,2.142810059E1,-4.665179062E1,5.139074029E1
1.387783542E0,-2.204963684E0,2.147145081E1,-4.669012833E1,5.143785715E1
1.397823542E0,-2.218681335E0,2.144159698E1,-4.664043045E1,5.138087563E1
1.407863542E0,-2.105869293E0,2.142247009E1,-4.654691696E1,5.128325642E1
1.417903542E0,-2.410728455E0,2.139025879E1,-4.662022018E1,5.134977812E1
1.427943542E0,-2.307151794E0,2.145816040E1,-4.659972000E1,5.135474176E1
1.437984542E0,-2.295879364E0,2.153902817E1,-4.679185867E1,5.156237809E1
1.448024542E0,-2.081775665E0,2.164065170E1,-4.677567673E1,5.158115479E1
1.458064542E0,-2.008296967E0,2.142633438E1,-4.717087936E1,5.184797895E1
1.468104542E0,-2.169628143E0,2.161654663E1,-4.685300827E1,5.164481347E1
1.478144542E0,-1.810165405E0,2.155259323E1,-4.672692490E1,5.148977067E1
1.488184542E0,-2.084999084E0,2.168169022E1,-4.674267960E1,5.156860486E1
1.498224542E0,-1.975791931E0,2.158410263E1,-4.677994156E1,5.155715442E1
1.508264542E0,-1.865970612E0,2.174847031E1,-4.689798355E1,5.172908919E1
1.518304542E0,-2.167575836E0,2.169378662E1,-4.667495346E1,5.151572618E1
1.528344542E0,-2.177146912E0,2.171980286E1,-4.670378494E1,5.155320875E1
1.538384542E0,-2.095466614E0,2.161069107E1,-4.694078445E1,5.171895392E1
1.548424542E0,-2.424282074E0,2.143003082E1,-4.664536667E1,5.138981997E1
1.558464542E0,-2.541633606E0,2.148861313E1,-4.666408920E1,5.143692853E1
1.568504542E0,-2.294040680E0,2.144657135E1,-4.671248245E1,5.145166724E1
1.578544542E0,-2.329753876E0,2.150498962E1,-4.634445572E1,5.114392347E1
1.588584542E0,-2.337821960E0,2.147453690E1,-4.688362503E1,5.162068812E1
1.598624542E0,-2.427478790E0,2.167224884E1,-4.706184769E1,5.186903248E1
1.608664542E0,-2.610111237E0,2.162387848E1,-4.670800400E1,5.153680664E1
1.618704542E0,-2.522148132E0,2.161241531E1,-4.651704025E1,5.135457877E1
1.628744542E0,-2.335304260E0,2.144704819E1,-4.640812302E1,5.117756739E1
1.638784542E0,-2.237609863E0,2.157354736E1,-4.686370468E1,5.163943900E1
1.648825542E0,-2.046829224E0,2.155065918E1,-4.664013290E1,5.141908613E1
1.658865542E0,-2.318027496E0,2.169099808E1,-4.650811386E1,5.137000393E1
1.668905542E0,-2.389427185E0,2.170825577E1,-4.631681442E1,5.120747044E1
1.678945542E0,-2.393775940E0,2.158646774E1,-4.648661423E1,5.130995084E1
1.688985542E0,-2.222640991E0,2.175271225E1,-4.670515060E1,5.157026000E1
1.699025542E0,-2.390476227E0,2.164409256E1,-4.660586166E1,5.144207870E1
1.709065542E0,-2.399208069E0,2.156216812E1,-4.643248367E1,5.125093983E1
1.719105542E0,-2.265712738E0,2.129982376E1,-4.626659012E1,5.098444182E1
1.729145542E0,-2.293071747E0,2.134400177E1,-4.670855331E1,5.140538437E1
1.739185542E0,-2.321315765E0,2.124151993E1,-4.628386307E1,5.097829593E1
1.749225542E0,-2.315673828E0,2.142697144E1,-4.624898911E1,5.102397910E1
1.759265542E0,-2.164619446E0,2.145919800E1,-4.651240158E1,5.126974017E1
1.769305542E0,-2.277538300E0,2.158481216E1,-4.651957321E1,5.133382889E1
1.779345542E0,-2.381973267E0,2.142958832E1,-4.663135147E1,5.137493545E1
1.789385542E0,-2.276264191E0,2.145749664E1,-4.674554825E1,5.148545253E1
1.799425542E0,-2.261810303E0,2.147032928E1,-4.688873672E1,5.162019428E1
1.809465542E0,-1.994041443E0,2.162623978E1,-4.668735123E1,5.149154506E1
1.819505542E0,-2.203449249E0,2.158977890E1,-4.659519577E1,5.140122577E1
1.829545542E0,-2.155929565E0,2.169848633E1,-4.635995865E1,5.123200276E1
1.839585542E0,-2.072826385E0,2.160194778E1,-4.645253372E1,5.127161638E1
1.849625542E0,-2.175342560E0,2.158790970E1,-4.672877121E1,5.152036509E1
1.859665542E0,-2.025615692E0,2.157574844E1,-4.657450485E1,5.136925678E1
1.869705542E0,-1.919700623E0,2.168529129E1,-4.666392136E1,5.149231656E1
1.879746542E0,-2.047958374E0,2.174564743E1,-4.687799454E1,5.171666741E1
1.889786542E0,-2.167934418E0,2.197357941E1,-4.690640640E1,5.184350580E1
1.899826542E0,-2.385646820E0,2.167692184E1,-4.700403214E1,5.181659279E1
1.909866542E0,-2.322097778E0,2.173143005E1,-4.696557999E1,5.180166883E1
1.919906542E0,-2.109638214E0,2.173479462E1,-4.698571396E1,5.181224939E1
1.929946542E0,-1.899971008E0,2.176494217E1,-4.700684738E1,5.183595565E1
1.939986542E0,-2.121547699E0,2.179718781E1,-4.692130661E1,5.178056947E1
1.950026542E0,-2.014160156E0,2.184973526E1,-4.711989212E1,5.197838017E1
1.960066542E0,-2.082187653E0,2.195405960E1,-4.729890060E1,5.218718460E1
1.970106542E0,-2.092838287E0,2.190686035E1,-4.704884720E1,5.194116407E1
1.980146542E0,-2.236804962E0,2.205479813E1,-4.671168137E1,5.170491846E1
1.990186542E0,-2.316390991E0,2.186598587E1,-4.677100754E1,5.168185515E1
2.000226542E0,-2.175498962E0,2.193975449E1,-4.674538040E1,5.168380996E1
2.010266542E0,-2.248893738E0,2.196875381E1,-4.689788437E1,5.183719924E1
2.020306542E0,-2.083499908E0,2.151060867E1,-4.693045425E1,5.166734746E1
2.030346542E0,-2.323856354E0,2.173122025E1,-4.655943680E1,5.143371848E1
2.040386542E0,-2.143260956E0,2.167823410E1,-4.692394638E1,5.173389745E1
2.050426542E0,-2.235122681E0,2.182757950E1,-4.656320572E1,5.147398495E1
2.060466542E0,-2.402530670E0,2.175442123E1,-4.661651230E1,5.149879820E1
2.070506542E0,-2.270149231E0,2.168309021E1,-4.654923630E1,5.140176435E1
2.080546542E0,-2.220706940E0,2.179487228E1,-4.663314438E1,5.152279255E1
2.090587542E0,-2.115669250E0,2.161694717E1,-4.681750107E1,5.161053059E1
2.100627542E0,-1.949207306E0,2.178943253E1,-4.652291489E1,5.140973048E1
2.110667542E0,-2.161933899E0,2.154640961E1,-4.694890213E1,5.170223531E1
2.120707542E0,-2.212524414E0,2.165779495E1,-4.717864609E1,5.195940717E1
2.130747542E0,-2.204601288E0,2.170343399E1,-4.668670273E1,5.153200487E1
2.140787542E0,-2.083675385E0,2.187672424E1,-4.650559616E1,5.143639996E1
2.150827542E0,-2.160602570E0,2.165815735E1,-4.660536575E1,5.143738038E1
2.160867542E0,-2.011871338E0,2.170071030E1,-4.624762344E1,5.112544501E1
2.170907542E0,-2.227897644E0,2.205525589E1,-4.627474594E1,5.131032988E1
2.180947542E0,-2.018119812E0,2.183980560E1,-4.626967239E1,5.120480934E1
2.190987542E0,-2.199047089E0,2.192159653E1,-4.634261703E1,5.131306224E1
2.201027542E0,-2.226318359E0,2.184305954E1,-4.613523483E1,5.109340111E1
2.211067542E0,-2.331241608E0,2.199831390E1,-4.649949265E1,5.149333276E1
2.221107542E0,-2.416996002E0,2.189085388E1,-4.656969070E1,5.151492449E1
2.231147542E0,-2.261112213E0,2.185140610E1,-4.674434280E1,5.164910610E1
2.241187542E0,-2.383487701E0,2.167270660E1,-4.681079483E1,5.163949785E1
2.251227542E0,-2.212799072E0,2.148024750E1,-4.626944351E1,5.106034582E1
2.261267542E0,-1.987953186E0,2.163534927E1,-4.639696884E1,5.123201161E1
2.271307542E0,-1.972030640E0,2.145383835E1,-4.658557510E1,5.132613265E1
2.281347542E0,-2.085720062E0,2.149489975E1,-4.681264114E1,5.155389718E1
2.291387542E0,-2.203395844E0,2.166641617E1,-4.682175064E1,5.163879236E1
2.301427542E0,-2.383510590E0,2.145348740E1,-4.637063980E1,5.114850418E1
2.311468542E0,-2.162967682E0,2.162038803E1,-4.668310165E1,5.149205364E1
2.321508542E0,-2.023044586E0,2.157787704E1,-4.669491196E1,5.147924135E1
2.331548542E0,-1.958244324E0,2.155730438E1,-4.637339401E1,5.117659392E1
2.341588542E0,-2.182159424E0,2.176853561E1,-4.651977921E1,5.140740044E1
2.351628542E0,-2.216686249E0,2.174982071E1,-4.659097672E1,5.146540110E1
2.361668542E0,-2.212562561E0,2.173660278E1,-4.696219254E1,5.179597341E1
2.371708542E0,-2.089958191E0,2.157821274E1,-4.644950485E1,5.125957170E1
2.381748542E0,-2.247753143E0,2.159175491E1,-4.651614761E1,5.133233156E1
