"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.866833329E-3,3.977737427E0,2.301399612E1,-4.915326691E1,5.441975800E1
1.390883332E-2,3.891159058E0,2.305191422E1,-4.900306702E1,5.429394483E1
2.394983332E-2,3.931022644E0,2.295961380E1,-4.897206116E1,5.422969278E1
3.399083333E-2,4.073284149E0,2.295256042E1,-4.893013000E1,5.419934775E1
4.403183333E-2,3.886283875E0,2.308710098E1,-4.869109344E1,5.402721550E1
5.407283333E-2,4.092765808E0,2.319371796E1,-4.834756470E1,5.377905072E1
6.411483332E-2,3.842498779E0,2.348278046E1,-4.837811279E1,5.391333390E1
7.415583332E-2,4.097736359E0,2.345947266E1,-4.858388519E1,5.410667427E1
8.419683333E-2,4.062507629E0,2.370904922E1,-4.856985474E1,5.420012705E1
9.423783333E-2,4.216121674E0,2.354272079E1,-4.847074127E1,5.405042224E1
1.042788333E-1,4.149448395E0,2.370061493E1,-4.878622437E1,5.439699218E1
1.143198333E-1,4.163242340E0,2.349990082E1,-4.914915466E1,5.463714240E1
1.243618333E-1,4.098735809E0,2.323979187E1,-4.891362762E1,5.430865980E1
1.344028333E-1,4.214042664E0,2.314385223E1,-4.862660980E1,5.401798990E1
1.444438333E-1,4.241752625E0,2.314891434E1,-4.879745483E1,5.417615987E1
1.544848333E-1,4.277431488E0,2.310354614E1,-4.864543152E1,5.402266443E1
1.645258333E-1,3.916572571E0,2.312695312E1,-4.858599091E1,5.395177489E1
1.745668333E-1,4.057952881E0,2.326221466E1,-4.863917542E1,5.406816991E1
1.846088333E-1,4.086902618E0,2.312116623E1,-4.847356415E1,5.386072337E1
1.946498333E-1,4.268074036E0,2.330423355E1,-4.872312927E1,5.417792063E1
2.046908333E-1,4.309375763E0,2.339439011E1,-4.870864105E1,5.420700989E1
2.147318333E-1,4.119369507E0,2.320212173E1,-4.882621765E1,5.421537778E1
2.247728333E-1,4.291622162E0,2.326328278E1,-4.869039917E1,5.413273795E1
2.348138333E-1,4.206077576E0,2.332308960E1,-4.838053131E1,5.387330885E1
2.448558333E-1,4.256778717E0,2.312354660E1,-4.856174469E1,5.395425488E1
2.548968333E-1,4.139900208E0,2.315496826E1,-4.872714233E1,5.410753856E1
2.649378333E-1,3.994091034E0,2.309127808E1,-4.887184906E1,5.419979259E1
2.749788333E-1,4.055397034E0,2.288298035E1,-4.885022736E1,5.409641159E1
2.850198333E-1,4.168819427E0,2.299523163E1,-4.873723602E1,5.405069757E1
2.950608333E-1,4.100238800E0,2.297324371E1,-4.846369171E1,5.378950919E1
3.051028333E-1,4.075534821E0,2.302246094E1,-4.873949432E1,5.405721042E1
3.151438333E-1,3.950763702E0,2.324398041E1,-4.851716614E1,5.394262293E1
3.251848333E-1,4.015144348E0,2.333103180E1,-4.830513000E1,5.379446081E1
3.352258333E-1,4.079574585E0,2.346110535E1,-4.869570923E1,5.420644325E1
3.452668333E-1,4.031913757E0,2.330056763E1,-4.862378693E1,5.406889527E1
3.553088333E-1,3.844013214E0,2.342012405E1,-4.869544220E1,5.417125381E1
3.653498333E-1,3.936306000E0,2.319780731E1,-4.863166046E1,5.402472738E1
3.753908333E-1,3.814933777E0,2.308216095E1,-4.877766418E1,5.409806279E1
3.854318333E-1,3.826248169E0,2.298823547E1,-4.861069489E1,5.390824429E1
3.954728333E-1,3.784744263E0,2.313816833E1,-4.850611877E1,5.387525110E1
4.055138333E-1,3.880443573E0,2.307161713E1,-4.877712250E1,5.409773598E1
4.155558333E-1,4.109539032E0,2.309540939E1,-4.879145813E1,5.413771913E1
4.255968333E-1,4.040061951E0,2.301784515E1,-4.862120819E1,5.394594685E1
4.356378333E-1,3.948612213E0,2.307259750E1,-4.884654999E1,5.416568784E1
4.456788333E-1,4.078334808E0,2.310427094E1,-4.893415070E1,5.426777363E1
4.557198333E-1,4.028495789E0,2.310123444E1,-4.878086853E1,5.412456878E1
4.657608333E-1,4.452533722E0,2.314682770E1,-4.867179108E1,5.407905265E1
4.758028333E-1,4.328712463E0,2.342538834E1,-4.877919006E1,5.428531987E1
4.858438333E-1,4.312114716E0,2.346375656E1,-4.888014984E1,5.439127921E1
4.958848333E-1,3.982105255E0,2.349393463E1,-4.861073303E1,5.413709904E1
5.059258333E-1,3.899566650E0,2.344849014E1,-4.863545990E1,5.413359650E1
5.159668333E-1,4.100463867E0,2.323807526E1,-4.885569763E1,5.425588573E1
5.260088333E-1,4.017501831E0,2.306693268E1,-4.874201202E1,5.407409214E1
5.360498333E-1,4.108638763E0,2.330775833E1,-4.902041626E1,5.443467389E1
5.460908333E-1,4.087528229E0,2.310588837E1,-4.914722443E1,5.446135908E1
5.561318333E-1,3.919429779E0,2.306277847E1,-4.894952393E1,5.425227712E1
5.661728333E-1,4.189342499E0,2.327797699E1,-4.860095978E1,5.405060679E1
5.762138333E-1,4.168933868E0,2.315217972E1,-4.869892120E1,5.408316154E1
5.862558333E-1,4.152088165E0,2.315165710E1,-4.854428864E1,5.394244175E1
5.962968333E-1,3.866600037E0,2.320464706E1,-4.846279144E1,5.387066359E1
6.063378333E-1,3.951271057E0,2.325418854E1,-4.844641876E1,5.388344197E1
6.163788333E-1,4.108367920E0,2.330719376E1,-4.866667938E1,5.411607571E1
6.264198333E-1,4.153022766E0,2.351148987E1,-4.853359985E1,5.408833579E1
6.364608333E-1,3.990718842E0,2.378318024E1,-4.870853424E1,5.435151154E1
6.465028333E-1,3.844600677E0,2.362978745E1,-4.881401825E1,5.436870595E1
6.565438333E-1,4.101741791E0,2.346847534E1,-4.904770660E1,5.452770987E1
6.665848333E-1,4.093788147E0,2.329923630E1,-4.894938660E1,5.436594487E1
6.766258333E-1,3.888999939E0,2.319476318E1,-4.883820343E1,5.420600957E1
6.866668333E-1,3.932056427E0,2.303338242E1,-4.877188873E1,5.408044844E1
